Dataset,K-Neighbors Regressor,Linear Regression,Random Forest,Support Vector Regressor
10 epochs,0.941077860619316,0.9617593540554464,0.9629749025225675,-0.1609361941895573
20 epochs,0.9575814303044242,0.9927901626575832,0.9869448789995219,-0.13905906170273474
30 epochs,0.9478820143348413,0.9871548017689689,0.9720149317034974,-0.1387156849676796
5 epochs,0.9369055022088524,0.9621017681142597,0.9552755816439902,-0.1814787666944515
60 epochs,0.9584907098791449,0.9907493501857503,0.9894159892413026,-0.13676789629888741
